Indicador,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
IPCA,2025-06-20 00:00:00,06/2027,0.2395,0.23,0.1213,-0.1856,0.6,65,1
IPCA,2025-06-20 00:00:00,06/2027,0.2437,0.24,0.1196,-0.1856,0.6,69,0
IPCA Livres,2025-06-20 00:00:00,06/2027,0.2349,0.24,0.1382,-0.2882,0.64,47,1
IPCA Livres,2025-06-20 00:00:00,06/2027,0.2384,0.24,0.1374,-0.2882,0.64,49,0
IPCA Serviços,2025-06-20 00:00:00,06/2027,0.3327,0.3223,0.1496,-0.3346,0.68,45,1
IPCA Serviços,2025-06-20 00:00:00,06/2027,0.3369,0.33,0.1482,-0.3346,0.68,47,0
IPCA Bens industrializados,2025-06-20 00:00:00,06/2027,0.1639,0.17,0.134,-0.15,0.43,46,1
IPCA Bens industrializados,2025-06-20 00:00:00,06/2027,0.1695,0.175,0.1344,-0.15,0.43,48,0
IPCA Alimentação no domicílio,2025-06-20 00:00:00,06/2027,0.1143,0.1,0.2777,-0.46,0.95,45,1
IPCA Alimentação no domicílio,2025-06-20 00:00:00,06/2027,0.1201,0.1,0.2731,-0.46,0.95,47,0
IPCA Administrados,2025-06-20 00:00:00,06/2027,0.2791,0.25,0.1761,-0.05,1.06,49,1
IPCA Administrados,2025-06-20 00:00:00,06/2027,0.2808,0.25,0.1735,-0.05,1.06,51,0
IPCA,2025-06-20 00:00:00,05/2027,0.294,0.29,0.1049,0.04,0.6726,74,1
IPCA,2025-06-20 00:00:00,05/2027,0.2962,0.2978,0.0968,0.04,0.6726,98,0
Câmbio,2025-06-20 00:00:00,05/2027,5.7447,5.715,0.2316,5.0,6.5,56,1
Câmbio,2025-06-20 00:00:00,05/2027,5.7389,5.7,0.2254,5.0,6.5,70,0
IPCA Livres,2025-06-20 00:00:00,05/2027,0.2324,0.2053,0.1431,-0.04,0.72,52,1
IPCA Livres,2025-06-20 00:00:00,05/2027,0.24,0.22,0.1392,-0.04,0.72,63,0
IPCA Serviços,2025-06-20 00:00:00,05/2027,0.2026,0.1844,0.1767,-0.13,0.77,51,1
IPCA Serviços,2025-06-20 00:00:00,05/2027,0.2154,0.2,0.1731,-0.13,0.77,64,0
IPCA Bens industrializados,2025-06-20 00:00:00,05/2027,0.2759,0.3,0.1207,0.01,0.53,49,1
IPCA Bens industrializados,2025-06-20 00:00:00,05/2027,0.2923,0.3,0.1329,0.01,0.85,60,0
IPCA Alimentação no domicílio,2025-06-20 00:00:00,05/2027,0.2463,0.2,0.2133,-0.4,0.89,51,1
IPCA Alimentação no domicílio,2025-06-20 00:00:00,05/2027,0.2643,0.2346,0.2136,-0.4,0.89,62,0
IPCA Administrados,2025-06-20 00:00:00,05/2027,0.4696,0.43,0.2079,0.0,1.2964,53,1
IPCA Administrados,2025-06-20 00:00:00,05/2027,0.4678,0.435,0.1945,0.0,1.2964,66,0
IPCA,2025-06-20 00:00:00,04/2027,0.3804,0.35,0.0998,0.2,0.8115,77,1
IPCA,2025-06-20 00:00:00,04/2027,0.3734,0.35,0.0983,0.2,0.8115,101,0
Câmbio,2025-06-20 00:00:00,04/2027,5.7611,5.75,0.2351,4.9,6.5,62,1
Câmbio,2025-06-20 00:00:00,04/2027,5.7662,5.75,0.2294,4.9,6.5,90,0
IPCA Livres,2025-06-20 00:00:00,04/2027,0.379,0.37,0.1016,0.2194,0.7888,53,1
IPCA Livres,2025-06-20 00:00:00,04/2027,0.3799,0.38,0.0996,0.2194,0.7888,65,0
IPCA Serviços,2025-06-20 00:00:00,04/2027,0.3331,0.32,0.142,0.04,0.9379,52,1
IPCA Serviços,2025-06-20 00:00:00,04/2027,0.336,0.32,0.1328,0.04,0.9379,65,0
IPCA Bens industrializados,2025-06-20 00:00:00,04/2027,0.2736,0.29,0.1079,-0.03,0.56,51,1
